datetime,quantity,price_gbp,actual_food
2020-02-03 15:57:33,3,5.97,Double Cheeseburger
2020-02-03 16:16:35,4,17.16,Filet-O-Fish
2020-02-03 16:48:11,3,14.97,Big Mac
2020-02-03 17:04:24,4,7.96,Double Cheeseburger
2020-02-03 17:20:31,1,1.49,Cheeseburger
2020-02-03 18:10:50,2,5.98,McChicken Sandwich
2020-02-03 18:56:34,1,4.99,Big Mac
2020-02-03 19:19:25,2,5.98,McCafe Latte
2020-02-03 20:03:55,1,4.99,Quarter Pounder
2020-02-03 20:41:21,3,8.97,McCafe Latte
2020-02-03 21:40:19,1,2.49,McFlurry Oreo
2020-02-04 08:41:34,1,2.49,McFlurry Oreo
2020-02-04 09:32:15,3,14.97,Big Mac
2020-02-04 10:24:00,1,4.29,Filet-O-Fish
2020-02-04 10:27:11,4,9.96,McFlurry Oreo
2020-02-04 11:04:57,1,2.99,McChicken Sandwich
2020-02-04 11:06:06,4,11.96,McCafe Latte
2020-02-04 11:12:12,1,2.99,McCafe Latte
2020-02-04 11:34:08,4,8.76,Fries Medium
2020-02-04 11:50:30,4,4.36,Hash Brown
2020-02-04 11:55:59,4,8.76,Fries Medium
2020-02-04 13:27:26,4,7.96,Double Cheeseburger
2020-02-04 14:46:21,1,2.99,McChicken Sandwich
2020-02-04 15:30:13,4,5.96,Cheeseburger
2020-02-04 17:14:00,2,9.98,Big Mac
2020-02-04 18:41:41,1,4.99,Quarter Pounder
2020-02-04 20:54:15,1,4.99,Big Mac
2020-02-04 20:55:54,4,11.96,McChicken Sandwich
2020-02-05 08:03:37,3,14.97,Big Mac
2020-02-05 08:29:39,1,2.99,McCafe Latte
2020-02-05 08:32:05,2,9.98,Quarter Pounder
2020-02-05 09:34:13,1,3.99,Chicken Nuggets 6pc
2020-02-05 09:56:36,4,4.76,Apple Pie
2020-02-05 10:12:18,4,4.36,Hash Brown
2020-02-05 10:16:07,1,2.19,Fries Medium
2020-02-05 10:59:22,3,7.47,McFlurry Oreo
2020-02-05 11:16:25,3,3.27,Hash Brown
2020-02-05 12:13:42,3,5.97,Double Cheeseburger
2020-02-05 12:27:44,4,8.76,Fries Medium
2020-02-05 13:18:10,2,5.98,McChicken Sandwich
2020-02-05 15:20:59,3,4.47,Cheeseburger
2020-02-05 17:04:43,1,1.49,Cheeseburger
2020-02-05 17:05:26,1,1.19,Apple Pie
2020-02-05 17:47:34,1,1.19,Apple Pie
2020-02-05 17:51:41,3,14.97,Quarter Pounder
2020-02-05 18:52:35,1,2.49,McFlurry Oreo
2020-02-06 08:21:49,1,2.19,Fries Medium
2020-02-06 10:47:28,3,4.47,Cheeseburger
2020-02-06 11:43:40,3,3.57,Apple Pie
2020-02-06 11:55:10,2,8.58,Filet-O-Fish
2020-02-06 12:18:38,2,2.18,Hash Brown
2020-02-06 12:57:58,4,8.76,Fries Medium
2020-02-06 14:08:02,2,5.98,Fries Large
2020-02-06 16:00:07,4,9.96,McFlurry Oreo
2020-02-06 16:02:53,2,5.98,McChicken Sandwich
2020-02-06 18:15:42,2,5.98,Fries Large
2020-02-06 18:27:53,1,4.99,Big Mac
2020-02-06 20:35:56,3,8.97,McChicken Sandwich
2020-02-06 20:55:02,3,6.57,Fries Medium
2020-02-07 08:07:56,3,12.87,Filet-O-Fish
2020-02-07 08:42:12,2,2.38,Apple Pie
2020-02-07 10:47:59,1,4.29,Filet-O-Fish
2020-02-07 11:52:58,2,9.98,Quarter Pounder
2020-02-07 12:02:45,2,8.58,Filet-O-Fish
2020-02-07 12:10:50,2,2.18,Hash Brown
2020-02-07 12:52:50,3,14.97,Quarter Pounder
2020-02-07 12:55:04,3,12.87,Filet-O-Fish
2020-02-07 13:41:32,3,8.97,McCafe Latte
2020-02-07 13:46:50,4,11.96,McChicken Sandwich
2020-02-07 14:55:02,1,1.09,Hash Brown
2020-02-07 17:16:02,2,4.38,Fries Medium
2020-02-07 17:32:07,4,11.96,Fries Large
2020-02-07 20:42:55,4,11.96,Fries Large
2020-02-08 08:15:30,1,1.49,Cheeseburger
2020-02-08 09:52:48,3,7.47,McFlurry Oreo
2020-02-08 11:09:41,4,19.96,Quarter Pounder
2020-02-08 11:11:51,4,11.96,McChicken Sandwich
2020-02-08 11:26:42,2,4.98,McFlurry Oreo
2020-02-08 11:51:12,3,3.57,Apple Pie
2020-02-08 12:18:13,1,4.29,Filet-O-Fish
2020-02-08 13:27:04,2,9.98,Big Mac
2020-02-08 14:44:18,3,12.87,Filet-O-Fish
2020-02-08 15:26:56,1,3.99,Chicken Nuggets 6pc
2020-02-08 15:28:28,3,12.87,Filet-O-Fish
2020-02-08 16:19:42,3,8.97,McChicken Sandwich
2020-02-08 16:30:50,2,3.98,Double Cheeseburger
2020-02-08 17:20:42,3,5.97,Double Cheeseburger
2020-02-08 17:36:19,2,8.58,Filet-O-Fish
2020-02-08 18:05:18,2,5.98,McCafe Latte
2020-02-08 19:44:24,2,3.98,Double Cheeseburger
2020-02-08 20:55:49,1,1.09,Hash Brown
2020-02-09 08:24:21,4,17.16,Filet-O-Fish
2020-02-09 10:09:14,1,2.99,Fries Large
2020-02-09 10:51:29,4,11.96,McChicken Sandwich
2020-02-09 11:17:21,3,3.27,Hash Brown
2020-02-09 11:53:26,1,4.29,Filet-O-Fish
2020-02-09 12:28:04,2,9.98,Quarter Pounder
2020-02-09 13:34:29,4,17.16,Filet-O-Fish
2020-02-09 15:00:22,4,15.96,Chicken Nuggets 6pc
2020-02-09 15:14:17,2,8.58,Filet-O-Fish
2020-02-09 16:15:58,1,4.99,Quarter Pounder
2020-02-09 17:34:01,2,9.98,Quarter Pounder
2020-02-09 19:10:53,4,7.96,Double Cheeseburger
2020-02-09 19:13:04,2,8.58,Filet-O-Fish
2020-02-09 19:55:30,2,9.98,Quarter Pounder
2020-02-09 20:15:53,3,14.97,Quarter Pounder
2020-02-09 20:49:33,3,5.97,Double Cheeseburger
2020-02-09 20:57:28,3,5.97,Double Cheeseburger
2020-02-09 21:56:48,1,4.29,Filet-O-Fish
2020-02-09 21:57:53,4,8.76,Fries Medium
2020-02-09 21:58:35,4,15.96,Chicken Nuggets 6pc
2020-02-10 09:41:27,1,3.99,Chicken Nuggets 6pc
2020-02-10 09:44:49,2,5.98,McChicken Sandwich
2020-02-10 10:03:16,4,5.96,Cheeseburger
2020-02-10 11:29:20,3,12.87,Filet-O-Fish
2020-02-10 12:48:53,4,11.96,Fries Large
2020-02-10 13:14:41,1,4.99,Big Mac
2020-02-10 14:45:12,4,8.76,Fries Medium
2020-02-10 16:27:42,3,14.97,Big Mac
2020-02-10 16:41:21,1,2.99,Fries Large
2020-02-10 17:01:59,1,2.19,Fries Medium
2020-02-10 17:09:15,1,1.19,Apple Pie
2020-02-10 17:38:47,2,5.98,Fries Large
2020-02-10 18:07:36,4,5.96,Cheeseburger
2020-02-10 19:16:49,4,4.76,Apple Pie
2020-02-10 20:01:15,1,2.99,McChicken Sandwich
2020-02-10 20:36:50,1,2.19,Fries Medium
2020-02-10 20:52:10,1,1.09,Hash Brown
2020-02-10 21:05:30,3,12.87,Filet-O-Fish
2020-02-11 09:27:23,4,17.16,Filet-O-Fish
2020-02-11 11:46:26,1,1.19,Apple Pie
2020-02-11 13:01:31,4,19.96,Quarter Pounder
2020-02-11 13:17:56,3,8.97,McCafe Latte
2020-02-11 13:54:15,3,3.27,Hash Brown
2020-02-11 15:13:22,2,5.98,Fries Large
2020-02-11 15:15:48,3,8.97,McChicken Sandwich
2020-02-11 15:27:52,4,9.96,McFlurry Oreo
2020-02-11 16:00:33,3,11.97,Chicken Nuggets 6pc
2020-02-11 17:51:58,3,4.47,Cheeseburger
2020-02-11 19:09:27,4,7.96,Double Cheeseburger
2020-02-11 19:30:41,2,9.98,Quarter Pounder
2020-02-12 08:16:55,2,5.98,Fries Large
2020-02-12 09:18:14,1,4.99,Quarter Pounder
2020-02-12 09:53:12,3,7.47,McFlurry Oreo
2020-02-12 09:55:00,4,11.96,McCafe Latte
2020-02-12 10:51:36,2,9.98,Big Mac
2020-02-12 11:07:35,1,2.19,Fries Medium
2020-02-12 11:13:47,2,4.98,McFlurry Oreo
2020-02-12 12:02:03,2,9.98,Big Mac
2020-02-12 12:14:07,3,6.57,Fries Medium
2020-02-12 12:42:37,2,8.58,Filet-O-Fish
2020-02-12 13:07:47,2,2.18,Hash Brown
2020-02-12 13:11:19,2,4.38,Fries Medium
2020-02-12 13:44:29,3,12.87,Filet-O-Fish
2020-02-12 15:30:28,3,11.97,Chicken Nuggets 6pc
2020-02-12 16:33:22,4,11.96,Fries Large
2020-02-12 17:40:43,1,4.99,Quarter Pounder
2020-02-12 19:08:40,3,7.47,McFlurry Oreo
2020-02-12 19:37:48,3,14.97,Quarter Pounder
2020-02-12 21:04:25,1,4.99,Quarter Pounder
2020-02-13 08:14:18,3,14.97,Quarter Pounder
2020-02-13 09:14:43,1,2.19,Fries Medium
2020-02-13 10:50:19,1,2.99,McChicken Sandwich
2020-02-13 12:50:50,2,5.98,McChicken Sandwich
2020-02-13 12:52:09,2,2.38,Apple Pie
2020-02-13 12:55:37,4,19.96,Quarter Pounder
2020-02-13 14:07:34,2,3.98,Double Cheeseburger
2020-02-13 15:05:38,4,9.96,McFlurry Oreo
2020-02-13 15:07:29,3,11.97,Chicken Nuggets 6pc
2020-02-13 15:44:38,4,19.96,Big Mac
2020-02-13 16:04:10,2,2.38,Apple Pie
2020-02-13 17:39:03,3,12.87,Filet-O-Fish
2020-02-13 18:05:10,3,3.57,Apple Pie
2020-02-13 19:20:38,4,19.96,Big Mac
2020-02-13 19:25:17,3,3.27,Hash Brown
2020-02-13 19:55:29,3,3.27,Hash Brown
2020-02-13 20:13:40,1,3.99,Chicken Nuggets 6pc
2020-02-13 20:33:24,2,7.98,Chicken Nuggets 6pc
2020-02-14 08:12:33,4,19.96,Quarter Pounder
2020-02-14 09:20:16,4,19.96,Big Mac
2020-02-14 09:30:22,4,7.96,Double Cheeseburger
2020-02-14 10:37:27,3,14.97,Quarter Pounder
2020-02-14 13:42:06,3,12.87,Filet-O-Fish
2020-02-14 14:44:31,3,4.47,Cheeseburger
2020-02-14 15:33:41,2,5.98,McCafe Latte
2020-02-14 17:02:48,3,8.97,McCafe Latte
2020-02-14 18:28:48,4,11.96,Fries Large
2020-02-14 18:55:34,1,2.49,McFlurry Oreo
2020-02-14 20:25:55,1,2.99,Fries Large
2020-02-14 21:48:35,4,8.76,Fries Medium
2020-02-15 12:49:50,1,1.49,Cheeseburger
2020-02-15 14:53:30,3,3.27,Hash Brown
2020-02-15 15:07:41,1,1.19,Apple Pie
2020-02-15 15:35:09,2,9.98,Quarter Pounder
2020-02-15 16:08:59,3,3.57,Apple Pie
2020-02-15 16:26:05,1,2.49,McFlurry Oreo
2020-02-15 17:32:47,2,8.58,Filet-O-Fish
2020-02-15 19:10:19,2,9.98,Big Mac
2020-02-15 19:18:32,4,5.96,Cheeseburger
2020-02-15 19:19:53,3,14.97,Big Mac
2020-02-15 19:31:07,4,8.76,Fries Medium
2020-02-15 20:32:17,3,12.87,Filet-O-Fish
2020-02-16 08:20:47,4,11.96,McCafe Latte
2020-02-16 08:20:50,1,2.19,Fries Medium
2020-02-16 11:40:43,1,3.99,Chicken Nuggets 6pc
2020-02-16 13:23:27,3,14.97,Big Mac
2020-02-16 13:40:45,4,11.96,Fries Large
2020-02-16 14:42:50,4,19.96,Quarter Pounder
2020-02-16 14:55:41,2,9.98,Big Mac
2020-02-16 15:02:08,2,3.98,Double Cheeseburger
2020-02-16 15:10:44,1,2.99,McChicken Sandwich
2020-02-16 15:50:16,1,1.49,Cheeseburger
2020-02-16 15:59:20,4,11.96,Fries Large
2020-02-16 16:26:36,2,2.98,Cheeseburger
2020-02-16 16:30:22,4,5.96,Cheeseburger
2020-02-16 16:58:29,1,4.99,Quarter Pounder
2020-02-16 17:24:14,2,2.38,Apple Pie
2020-02-16 18:05:54,4,11.96,Fries Large
2020-02-16 19:05:27,2,4.38,Fries Medium
2020-02-16 21:06:55,3,7.47,McFlurry Oreo
2020-02-16 21:34:02,4,11.96,McCafe Latte
2020-02-17 09:39:55,2,2.98,Cheeseburger
2020-02-17 12:00:36,4,7.96,Double Cheeseburger
2020-02-17 12:43:34,4,11.96,McCafe Latte
2020-02-17 14:36:22,2,5.98,McChicken Sandwich
2020-02-17 14:54:30,2,4.38,Fries Medium
2020-02-17 15:22:37,1,1.49,Cheeseburger
2020-02-17 15:40:16,2,2.98,Cheeseburger
2020-02-17 15:58:37,2,8.58,Filet-O-Fish
2020-02-17 17:16:43,2,2.38,Apple Pie
2020-02-17 17:47:31,1,1.99,Double Cheeseburger
2020-02-17 17:51:22,2,4.38,Fries Medium
2020-02-17 18:00:57,3,14.97,Quarter Pounder
2020-02-17 19:16:29,4,8.76,Fries Medium
2020-02-17 19:18:01,3,11.97,Chicken Nuggets 6pc
2020-02-18 08:37:23,4,8.76,Fries Medium
2020-02-18 09:43:14,3,5.97,Double Cheeseburger
2020-02-18 09:58:18,2,2.18,Hash Brown
2020-02-18 10:12:08,4,11.96,Fries Large
2020-02-18 12:58:52,2,4.38,Fries Medium
2020-02-18 15:04:09,1,2.99,McCafe Latte
2020-02-18 15:23:43,1,2.19,Fries Medium
2020-02-18 16:32:58,3,8.97,McCafe Latte
2020-02-18 17:24:52,3,3.27,Hash Brown
2020-02-18 18:41:02,1,1.99,Double Cheeseburger
2020-02-18 19:55:21,3,14.97,Quarter Pounder
2020-02-18 20:25:00,1,2.99,Fries Large
2020-02-18 21:43:46,2,5.98,McCafe Latte
2020-02-18 21:51:35,4,7.96,Double Cheeseburger
2020-02-19 08:25:17,3,5.97,Double Cheeseburger
2020-02-19 09:06:15,4,8.76,Fries Medium
2020-02-19 09:53:48,2,2.98,Cheeseburger
2020-02-19 10:02:02,1,4.29,Filet-O-Fish
2020-02-19 12:02:44,4,19.96,Quarter Pounder
2020-02-19 12:54:09,1,3.99,Chicken Nuggets 6pc
2020-02-19 14:29:23,2,4.98,McFlurry Oreo
2020-02-19 15:28:15,2,5.98,Fries Large
2020-02-19 17:13:52,2,4.98,McFlurry Oreo
2020-02-19 17:14:41,3,14.97,Big Mac
2020-02-19 17:47:46,4,7.96,Double Cheeseburger
2020-02-19 18:06:53,4,5.96,Cheeseburger
2020-02-19 18:23:34,1,2.99,Fries Large
2020-02-19 18:40:38,2,5.98,McChicken Sandwich
2020-02-19 19:19:41,4,11.96,McChicken Sandwich
2020-02-19 20:09:50,3,3.57,Apple Pie
2020-02-19 20:11:07,3,4.47,Cheeseburger
2020-02-19 20:21:15,1,4.99,Big Mac
2020-02-19 21:52:29,1,1.19,Apple Pie
2020-02-20 08:11:16,3,3.57,Apple Pie
2020-02-20 09:20:38,1,4.99,Quarter Pounder
2020-02-20 10:17:39,1,1.49,Cheeseburger
2020-02-20 13:50:50,1,1.49,Cheeseburger
2020-02-20 14:38:33,3,5.97,Double Cheeseburger
2020-02-20 15:28:49,1,2.99,McChicken Sandwich
2020-02-20 15:32:14,1,2.99,Fries Large
2020-02-20 15:41:01,3,5.97,Double Cheeseburger
2020-02-20 15:45:58,1,1.99,Double Cheeseburger
2020-02-20 19:26:33,2,9.98,Big Mac
2020-02-20 19:50:58,1,3.99,Chicken Nuggets 6pc
2020-02-20 21:25:27,4,19.96,Big Mac
2020-02-21 09:05:53,4,5.96,Cheeseburger
2020-02-21 09:50:44,4,19.96,Quarter Pounder
2020-02-21 10:42:30,2,5.98,McChicken Sandwich
2020-02-21 13:52:29,4,4.76,Apple Pie
2020-02-21 13:54:35,1,1.19,Apple Pie
2020-02-21 14:06:47,1,2.99,McChicken Sandwich
2020-02-21 14:28:56,2,5.98,McChicken Sandwich
2020-02-21 17:19:22,3,14.97,Big Mac
2020-02-21 17:59:42,1,3.99,Chicken Nuggets 6pc
2020-02-21 18:07:26,3,14.97,Big Mac
2020-02-21 18:16:23,3,12.87,Filet-O-Fish
2020-02-21 19:06:20,4,17.16,Filet-O-Fish
2020-02-21 20:08:35,3,3.27,Hash Brown
2020-02-21 20:17:36,1,2.99,Fries Large
2020-02-21 21:35:49,4,4.76,Apple Pie
2020-02-21 21:58:46,4,11.96,Fries Large
2020-02-22 08:09:10,1,2.99,McCafe Latte
2020-02-22 09:09:47,4,5.96,Cheeseburger
2020-02-22 09:47:33,1,1.99,Double Cheeseburger
2020-02-22 11:48:32,3,12.87,Filet-O-Fish
2020-02-22 12:13:49,2,9.98,Big Mac
2020-02-22 12:20:07,3,4.47,Cheeseburger
2020-02-22 12:44:48,2,9.98,Big Mac
2020-02-22 12:46:20,3,4.47,Cheeseburger
2020-02-22 13:00:11,3,6.57,Fries Medium
2020-02-22 14:07:18,3,8.97,McChicken Sandwich
2020-02-22 14:29:21,4,4.76,Apple Pie
2020-02-22 14:38:03,2,9.98,Big Mac
2020-02-22 15:38:28,4,19.96,Quarter Pounder
2020-02-22 16:42:19,4,7.96,Double Cheeseburger
2020-02-22 18:05:17,1,2.99,McCafe Latte
2020-02-22 19:27:11,4,19.96,Big Mac
2020-02-23 09:25:55,3,5.97,Double Cheeseburger
2020-02-23 09:27:54,3,14.97,Quarter Pounder
2020-02-23 10:38:09,2,4.38,Fries Medium
2020-02-23 10:51:39,3,14.97,Big Mac
2020-02-23 11:06:09,2,2.18,Hash Brown
2020-02-23 11:21:49,3,3.27,Hash Brown
2020-02-23 12:07:25,4,17.16,Filet-O-Fish
2020-02-23 14:01:29,1,1.09,Hash Brown
2020-02-23 14:37:25,2,5.98,McChicken Sandwich
2020-02-23 14:55:19,1,2.49,McFlurry Oreo
2020-02-23 16:35:53,2,8.58,Filet-O-Fish
2020-02-23 16:40:07,1,1.49,Cheeseburger
2020-02-23 17:27:36,3,8.97,McChicken Sandwich
2020-02-23 20:22:22,2,4.98,McFlurry Oreo
2020-02-24 08:03:23,4,19.96,Quarter Pounder
2020-02-24 08:28:06,2,4.98,McFlurry Oreo
2020-02-24 09:30:28,4,5.96,Cheeseburger
2020-02-24 13:38:30,2,7.98,Chicken Nuggets 6pc
2020-02-24 15:37:35,4,11.96,McChicken Sandwich
2020-02-24 15:48:36,4,5.96,Cheeseburger
2020-02-24 15:58:51,1,2.99,McCafe Latte
2020-02-24 16:04:19,3,14.97,Big Mac
2020-02-24 18:55:54,1,2.19,Fries Medium
2020-02-24 18:59:56,4,11.96,McCafe Latte
2020-02-24 19:05:32,3,8.97,McCafe Latte
2020-02-24 20:17:37,3,5.97,Double Cheeseburger
2020-02-24 21:40:20,3,11.97,Chicken Nuggets 6pc
2020-02-25 08:23:19,3,7.47,McFlurry Oreo
2020-02-25 10:38:45,4,4.36,Hash Brown
2020-02-25 12:16:46,4,7.96,Double Cheeseburger
2020-02-25 13:05:37,2,3.98,Double Cheeseburger
2020-02-25 13:06:35,1,2.99,Fries Large
2020-02-25 13:19:41,2,3.98,Double Cheeseburger
2020-02-25 13:23:58,2,4.98,McFlurry Oreo
2020-02-25 13:49:31,2,2.98,Cheeseburger
2020-02-25 14:49:21,4,8.76,Fries Medium
2020-02-25 16:24:41,3,8.97,McChicken Sandwich
2020-02-25 18:42:27,1,1.09,Hash Brown
2020-02-25 19:28:28,2,9.98,Big Mac
2020-02-25 20:40:41,1,1.99,Double Cheeseburger
2020-02-25 21:08:42,3,8.97,McCafe Latte
2020-02-26 10:04:18,2,2.38,Apple Pie
2020-02-26 15:49:18,4,7.96,Double Cheeseburger
2020-02-26 16:15:19,2,9.98,Quarter Pounder
2020-02-26 16:33:26,4,11.96,McCafe Latte
2020-02-26 16:49:34,1,2.99,McCafe Latte
2020-02-26 17:24:09,2,5.98,McCafe Latte
2020-02-26 18:21:56,1,1.09,Hash Brown
2020-02-26 18:30:55,1,2.19,Fries Medium
2020-02-26 18:46:15,3,12.87,Filet-O-Fish
2020-02-26 19:28:02,2,7.98,Chicken Nuggets 6pc
2020-02-26 19:54:33,1,2.99,Fries Large
2020-02-26 20:38:08,2,2.98,Cheeseburger
2020-02-26 20:47:50,3,14.97,Quarter Pounder
2020-02-26 21:12:23,4,11.96,McCafe Latte
2020-02-26 21:44:49,2,2.98,Cheeseburger
2020-02-27 09:03:15,3,3.57,Apple Pie
2020-02-27 09:07:53,4,17.16,Filet-O-Fish
2020-02-27 09:23:14,4,4.76,Apple Pie
2020-02-27 09:49:18,4,5.96,Cheeseburger
2020-02-27 09:53:45,3,14.97,Big Mac
2020-02-27 12:13:53,1,2.99,McChicken Sandwich
2020-02-27 13:59:01,4,4.76,Apple Pie
2020-02-27 14:32:23,1,4.29,Filet-O-Fish
2020-02-27 15:39:00,4,5.96,Cheeseburger
2020-02-27 20:09:08,3,5.97,Double Cheeseburger
2020-02-27 20:10:17,1,2.19,Fries Medium
2020-02-27 21:27:05,2,9.98,Quarter Pounder
2020-02-27 21:30:44,3,14.97,Big Mac
2020-02-28 08:20:59,2,5.98,McCafe Latte
2020-02-28 09:45:49,2,2.98,Cheeseburger
2020-02-28 10:02:22,3,8.97,McCafe Latte
2020-02-28 11:36:26,3,11.97,Chicken Nuggets 6pc
2020-02-28 12:07:51,3,5.97,Double Cheeseburger
2020-02-28 12:12:02,1,4.99,Quarter Pounder
2020-02-28 12:27:00,2,2.38,Apple Pie
2020-02-28 13:16:47,4,19.96,Big Mac
2020-02-28 14:47:28,4,11.96,Fries Large
2020-02-28 14:55:30,1,2.49,McFlurry Oreo
2020-02-28 16:23:04,1,1.49,Cheeseburger
2020-02-28 18:32:36,1,3.99,Chicken Nuggets 6pc
2020-02-28 19:30:40,4,11.96,McCafe Latte
2020-02-28 20:04:22,3,14.97,Big Mac
2020-02-28 20:37:47,1,1.19,Apple Pie
2020-02-28 20:41:12,1,2.19,Fries Medium
2020-02-28 21:34:30,4,8.76,Fries Medium
2020-02-28 21:41:11,3,7.47,McFlurry Oreo
2020-02-28 21:49:03,3,6.57,Fries Medium
2020-02-29 08:08:04,4,15.96,Chicken Nuggets 6pc
2020-02-29 08:09:54,2,5.98,Fries Large
2020-02-29 08:46:55,4,11.96,Fries Large
2020-02-29 09:01:47,2,4.38,Fries Medium
2020-02-29 10:44:28,4,4.36,Hash Brown
2020-02-29 12:28:38,3,8.97,Fries Large
2020-02-29 12:40:50,4,11.96,Fries Large
2020-02-29 12:49:16,1,2.49,McFlurry Oreo
2020-02-29 13:06:05,3,4.47,Cheeseburger
2020-02-29 13:24:36,3,3.57,Apple Pie
2020-02-29 14:20:41,3,4.47,Cheeseburger
2020-02-29 14:38:52,1,4.29,Filet-O-Fish
2020-02-29 15:44:31,2,5.98,Fries Large
2020-02-29 16:24:58,4,5.96,Cheeseburger
2020-02-29 18:28:23,2,9.98,Big Mac
2020-02-29 18:40:25,1,4.99,Big Mac
2020-02-29 20:04:36,4,11.96,Fries Large
2020-02-29 20:05:46,3,8.97,Fries Large
2020-03-01 08:23:35,4,4.76,Apple Pie
2020-03-01 09:19:25,1,1.49,Cheeseburger
2020-03-01 10:10:20,3,4.47,Cheeseburger
2020-03-01 10:20:41,1,4.29,Filet-O-Fish
2020-03-01 10:54:04,1,1.19,Apple Pie
2020-03-01 11:50:08,1,1.19,Apple Pie
2020-03-01 12:12:40,1,2.19,Fries Medium
2020-03-01 12:54:10,3,8.97,McChicken Sandwich
2020-03-01 13:33:57,2,2.18,Hash Brown
2020-03-01 15:43:33,4,11.96,McChicken Sandwich
2020-03-01 15:51:35,3,11.97,Chicken Nuggets 6pc
2020-03-01 16:26:49,4,4.36,Hash Brown
2020-03-01 18:22:45,3,8.97,McCafe Latte
2020-03-01 19:28:05,2,9.98,Quarter Pounder
2020-03-01 19:58:31,3,3.57,Apple Pie
2020-03-01 20:08:27,2,3.98,Double Cheeseburger
2020-03-01 20:23:32,2,2.18,Hash Brown
2020-03-01 21:07:33,1,2.49,McFlurry Oreo
2020-03-01 21:49:35,2,5.98,Fries Large
2020-03-02 09:02:41,1,4.99,Big Mac
2020-03-02 10:28:26,1,1.09,Hash Brown
2020-03-02 10:42:39,2,7.98,Chicken Nuggets 6pc
2020-03-02 11:21:38,4,19.96,Quarter Pounder
2020-03-02 11:55:57,4,15.96,Chicken Nuggets 6pc
2020-03-02 12:24:55,1,2.99,McChicken Sandwich
2020-03-02 12:29:04,4,4.76,Apple Pie
2020-03-02 13:15:29,1,2.99,Fries Large
2020-03-02 14:08:48,3,3.27,Hash Brown
2020-03-02 15:01:05,3,14.97,Quarter Pounder
2020-03-02 15:15:09,3,8.97,McChicken Sandwich
2020-03-02 15:32:29,2,2.38,Apple Pie
2020-03-02 16:41:10,1,2.49,McFlurry Oreo
2020-03-02 17:40:01,4,15.96,Chicken Nuggets 6pc
2020-03-02 17:46:20,3,4.47,Cheeseburger
2020-03-02 18:13:49,3,8.97,McCafe Latte
2020-03-02 18:19:30,3,14.97,Quarter Pounder
2020-03-02 18:19:39,2,4.38,Fries Medium
2020-03-02 21:45:20,3,4.47,Cheeseburger
2020-03-02 21:59:36,3,3.27,Hash Brown
2020-03-03 08:02:08,1,2.49,McFlurry Oreo
2020-03-03 08:18:31,1,2.99,Fries Large
2020-03-03 08:36:35,4,19.96,Big Mac
2020-03-03 10:06:25,1,3.99,Chicken Nuggets 6pc
2020-03-03 10:56:16,4,11.96,McChicken Sandwich
2020-03-03 11:13:37,4,9.96,McFlurry Oreo
2020-03-03 12:34:00,4,15.96,Chicken Nuggets 6pc
2020-03-03 13:21:43,1,4.99,Quarter Pounder
2020-03-03 16:18:04,3,3.57,Apple Pie
2020-03-03 16:23:48,3,8.97,Fries Large
2020-03-03 17:20:10,3,4.47,Cheeseburger
2020-03-03 17:21:32,3,12.87,Filet-O-Fish
2020-03-03 17:32:25,2,2.98,Cheeseburger
2020-03-03 17:57:32,2,9.98,Quarter Pounder
2020-03-03 19:36:19,4,9.96,McFlurry Oreo
